FamilyMembers,HouseType,Occupation,IncomeLevel,WorkFromHome,Season,Temperature,Humidity,ACCount,ACHours,FanCount,LightCount,LEDPercentage,Cooler,Geyser,Refrigerator,WashingMachine,LaptopHours,TVHours,PreviousMonthUnits,MonthlyUnits,ElectricityBill,CarbonEmission,EstimatedBaseLoad
4,2BHK,Student,Very High,Partial,Winter,13.0,46.8,2,0.0,5,11,66.7,0,1,1,1,3.9,3.3,205.3,161.8,627.89,132.64,167.17
5,2BHK,Student,Low,Partial,Winter,18.1,54.5,1,0.0,5,13,11.1,0,0,1,1,4.2,4.5,177.3,187.9,745.35,154.04,194.95
2,4BHK,Employed,Medium,Partial,Spring,27.0,49.1,3,2.2,7,15,37.9,1,1,1,1,3.5,2.4,569.5,537.1,3465.58,440.44,569.36
4,3BHK,Homemaker,Low,Partial,Winter,14.5,51.1,1,0.0,7,18,12.1,0,1,1,1,0.6,4.1,201.4,236.8,1039.34,194.19,214.04
5,4BHK,Self-Employed,High,Partial,Winter,11.9,50.9,2,0.0,10,17,60.1,0,0,1,1,7.4,4.4,197.0,249.9,1124.6,204.95,233.12
6,1BHK,Employed,Low,No,Winter,10.6,55.5,0,0.0,5,8,30.1,0,1,1,1,1.9,3.7,218.6,190.8,758.45,156.43,173.11
2,2BHK,Employed,Medium,No,Monsoon,27.8,86.6,1,3.5,4,8,41.6,0,1,1,1,2.9,4.2,466.3,433.9,2587.98,355.78,352.23
5,4BHK,Employed,High,Yes,Winter,16.0,48.9,2,0.0,9,17,43.3,1,1,1,1,8.4,4.4,871.0,228.2,983.14,187.1,240.83
8,3BHK,Homemaker,Low,Partial,Spring,28.9,55.9,1,2.3,7,15,29.4,0,0,1,1,1.1,5.7,405.5,429.3,2548.84,352.01,407.78
6,1BHK,Employed,Low,No,Monsoon,32.0,82.5,0,0.0,3,9,23.1,0,1,1,1,3.0,5.0,202.7,184.0,728.18,150.91,202.11
7,3BHK,Student,Very High,Yes,Winter,16.7,53.9,1,0.0,8,15,83.5,1,1,1,1,7.3,3.3,203.6,225.2,963.96,184.68,221.74
7,3BHK,Employed,High,No,Monsoon,32.0,84.4,2,4.8,7,16,72.0,1,1,1,1,6.0,6.0,631.1,883.2,6407.07,724.21,791.4
4,2BHK,Homemaker,Medium,No,Winter,17.9,56.1,1,0.0,4,12,20.0,0,1,1,1,1.5,7.7,448.5,188.1,746.53,154.26,185.51
5,2BHK,Student,Medium,No,Spring,26.8,53.2,1,1.9,6,12,46.3,1,1,1,1,4.0,3.6,316.7,353.4,1903.57,289.76,339.89
4,3BHK,Self-Employed,Medium,Partial,Winter,18.0,53.7,0,0.0,8,13,39.8,0,0,1,1,5.2,5.0,192.5,224.6,959.86,184.17,205.24
3,2BHK,Employed,High,No,Summer,35.9,56.1,1,8.5,4,12,52.7,1,0,1,1,5.2,2.5,675.1,544.4,3527.2,446.39,652.1
8,4BHK,Self-Employed,High,Yes,Winter,8.2,48.3,3,0.0,10,19,66.9,0,1,1,1,4.1,5.9,254.3,249.4,1121.38,204.54,259.15
8,2BHK,Employed,Low,Partial,Summer,36.7,57.0,1,8.8,9,15,5.4,0,0,1,1,10.8,4.6,666.1,888.1,6448.68,728.23,797.56
3,2BHK,Employed,High,Yes,Spring,27.8,47.5,1,2.1,7,11,68.5,1,1,1,1,9.5,2.5,176.5,343.5,1819.4,281.64,353.77
7,4BHK,Student,Low,Partial,Spring,22.4,47.7,1,1.8,10,19,18.7,0,0,1,1,4.2,4.7,311.4,393.1,2241.29,322.34,446.9
5,4BHK,Employed,Low,Partial,Summer,39.3,63.3,1,9.7,10,20,24.1,0,1,1,1,8.0,4.2,461.5,951.6,6988.55,780.31,854.31
7,3BHK,Employed,Low,No,Monsoon,29.0,83.7,0,0.0,8,16,12.8,0,1,1,1,2.8,5.8,315.2,331.6,1718.62,271.91,321.99
3,2BHK,Student,Low,No,Spring,27.2,42.0,1,2.0,6,12,36.7,0,1,1,1,4.8,1.8,267.9,336.4,1759.39,275.85,326.37
5,3BHK,Student,High,Yes,Monsoon,33.2,77.3,3,5.2,7,13,69.1,0,1,1,1,8.5,4.7,1503.5,1097.8,8231.5,900.21,1031.06
4,2BHK,Homemaker,High,No,Monsoon,30.5,90.9,1,4.3,5,13,64.6,0,1,1,1,0.3,4.6,737.6,432.5,2576.01,354.63,427.58
3,3BHK,Self-Employed,High,No,Summer,33.6,58.9,2,8.2,7,12,56.9,0,1,1,1,4.7,1.2,446.5,1211.0,9193.62,993.03,1038.44
4,4BHK,Employed,High,Yes,Winter,15.1,49.9,2,0.0,9,16,35.8,1,1,1,1,9.1,3.6,211.1,229.9,994.26,188.51,231.33
2,1BHK,Employed,Medium,No,Summer,33.3,61.1,1,7.7,2,8,22.3,0,1,1,1,6.1,1.1,721.7,432.4,2575.08,354.54,522.1
4,2BHK,Student,Medium,No,Winter,18.5,45.5,0,0.0,4,9,48.6,0,1,1,1,5.8,2.4,182.3,166.5,649.15,136.51,158.68
2,4BHK,Student,Very High,No,Spring,27.1,44.0,1,2.0,7,18,72.0,1,1,1,1,5.0,4.1,344.1,342.8,1813.44,281.06,356.58
6,1BHK,Homemaker,Medium,No,Summer,36.6,57.3,0,0.0,5,8,32.3,1,1,1,1,0.0,6.4,260.6,254.3,1152.98,208.53,275.99
3,3BHK,Employed,High,Yes,Summer,36.4,62.2,1,8.8,6,12,56.8,1,1,1,1,7.3,2.9,673.1,840.2,6041.65,688.96,710.52
4,2BHK,Employed,Low,No,Monsoon,30.6,79.9,0,0.0,4,12,19.5,0,0,1,1,1.9,2.9,246.8,226.3,970.9,185.56,208.07
3,4BHK,Homemaker,High,No,Summer,34.7,67.0,1,8.4,8,14,52.0,1,0,1,1,1.4,2.0,658.7,623.2,4196.89,510.99,713.41
3,2BHK,Retired,High,No,Winter,14.3,51.8,1,0.0,7,9,45.5,1,1,1,1,0.9,6.6,185.3,182.2,719.95,149.41,182.37
3,4BHK,Self-Employed,High,Yes,Summer,37.7,63.9,1,9.3,8,18,68.9,0,1,1,1,11.4,3.1,673.2,803.6,5730.74,658.97,759.16
4,2BHK,Self-Employed,High,Yes,Monsoon,33.0,77.9,0,0.0,4,13,62.5,1,0,1,1,10.0,4.4,452.2,267.4,1238.16,219.28,259.38
5,1BHK,Self-Employed,Medium,No,Summer,36.3,59.6,1,8.6,4,8,36.8,0,1,1,1,4.8,4.3,289.0,597.2,3976.3,489.71,627.31
